MANDT,PERNR,ENDDA,BEGDA,SUBTY,STRAS,ORT01,PSTLZ,LAND1
100,00000056,99991231,20200101,1,Street 56,Hamburg,10055,IT
100,00000057,99991231,20200101,1,Street 57,Rotterdam,10056,ES
100,00000058,99991231,20200101,1,Street 58,Lyon,10057,AT
100,00000059,99991231,20200101,1,Street 59,Milan,10058,CH
100,00000060,99991231,20200101,1,Street 60,Madrid,10059,BE
100,00000061,99991231,20200101,1,Street 61,Berlin,10060,DE
100,00000062,99991231,20200101,1,Street 62,Amsterdam,10061,NL
100,00000063,99991231,20200101,1,Street 63,Paris,10062,FR
100,00000064,99991231,20200101,1,Street 64,London,10063,US
100,00000065,99991231,20200101,1,Street 65,Munich,10064,GB
100,00000066,99991231,20200101,1,Street 66,Hamburg,10065,IT
100,00000067,99991231,20200101,1,Street 67,Rotterdam,10066,ES
100,00000068,99991231,20200101,1,Street 68,Lyon,10067,AT
100,00000069,99991231,20200101,1,Street 69,Milan,10068,CH
100,00000070,99991231,20200101,1,Street 70,Madrid,10069,BE
100,00000071,99991231,20200101,1,Street 71,Berlin,10070,DE
100,00000072,99991231,20200101,1,Street 72,Amsterdam,10071,NL
100,00000073,99991231,20200101,1,Street 73,Paris,10072,FR
100,00000074,99991231,20200101,1,Street 74,London,10073,US
100,00000075,99991231,20200101,1,Street 75,Munich,10074,GB
100,00000076,99991231,20200101,1,Street 76,Hamburg,10075,IT
100,00000077,99991231,20200101,1,Street 77,Rotterdam,10076,ES
100,00000078,99991231,20200101,1,Street 78,Lyon,10077,AT
100,00000079,99991231,20200101,1,Street 79,Milan,10078,CH
100,00000080,99991231,20200101,1,Street 80,Madrid,10079,BE
100,00000081,99991231,20200101,1,Street 81,Berlin,10080,DE
100,00000082,99991231,20200101,1,Street 82,Amsterdam,10081,NL
100,00000083,99991231,20200101,1,Street 83,Paris,10082,FR
100,00000084,99991231,20200101,1,Street 84,London,10083,US
100,00000085,99991231,20200101,1,Street 85,Munich,10084,GB
100,00000086,99991231,20200101,1,Street 86,Hamburg,10085,IT
100,00000087,99991231,20200101,1,Street 87,Rotterdam,10086,ES
100,00000088,99991231,20200101,1,Street 88,Lyon,10087,AT
100,00000089,99991231,20200101,1,Street 89,Milan,10088,CH
100,00000090,99991231,20200101,1,Street 90,Madrid,10089,BE
100,00000091,99991231,20200101,1,Street 91,Berlin,10090,DE
100,00000092,99991231,20200101,1,Street 92,Amsterdam,10091,NL
100,00000093,99991231,20200101,1,Street 93,Paris,10092,FR
100,00000094,99991231,20200101,1,Street 94,London,10093,US
100,00000095,99991231,20200101,1,Street 95,Munich,10094,GB
100,00000096,99991231,20200101,1,Street 96,Hamburg,10095,IT
100,00000097,99991231,20200101,1,Street 97,Rotterdam,10096,ES
100,00000098,99991231,20200101,1,Street 98,Lyon,10097,AT
100,00000099,99991231,20200101,1,Street 99,Milan,10098,CH
100,00000100,99991231,20200101,1,Street 100,Madrid,10099,BE
100,00000101,99991231,20200101,1,Street 101,Berlin,10100,DE
100,00000102,99991231,20200101,1,Street 102,Amsterdam,10101,NL
100,00000103,99991231,20200101,1,Street 103,Paris,10102,FR
100,00000104,99991231,20200101,1,Street 104,London,10103,US
100,00000105,99991231,20200101,1,Street 105,Munich,10104,GB
100,00000106,99991231,20200101,1,Street 106,Hamburg,10105,IT
100,00000107,99991231,20200101,1,Street 107,Rotterdam,10106,ES
100,00000108,99991231,20200101,1,Street 108,Lyon,10107,AT
100,00000109,99991231,20200101,1,Street 109,Milan,10108,CH
100,00000110,99991231,20200101,1,Street 110,Madrid,10109,BE
100,00000111,99991231,20200101,1,Street 111,Berlin,10110,DE
100,00000112,99991231,20200101,1,Street 112,Amsterdam,10111,NL
100,00000113,99991231,20200101,1,Street 113,Paris,10112,FR
100,00000114,99991231,20200101,1,Street 114,London,10113,US
100,00000115,99991231,20200101,1,Street 115,Munich,10114,GB
100,00000116,99991231,20200101,1,Street 116,Hamburg,10115,IT
100,00000117,99991231,20200101,1,Street 117,Rotterdam,10116,ES
100,00000118,99991231,20200101,1,Street 118,Lyon,10117,AT
100,00000119,99991231,20200101,1,Street 119,Milan,10118,CH
100,00000120,99991231,20200101,1,Street 120,Madrid,10119,BE
100,00000121,99991231,20200101,1,Street 121,Berlin,10120,DE
100,00000122,99991231,20200101,1,Street 122,Amsterdam,10121,NL
100,00000123,99991231,20200101,1,Street 123,Paris,10122,FR
100,00000124,99991231,20200101,1,Street 124,London,10123,US
100,00000125,99991231,20200101,1,Street 125,Munich,10124,GB
100,00000126,99991231,20200101,1,Street 126,Hamburg,10125,IT
100,00000127,99991231,20200101,1,Street 127,Rotterdam,10126,ES
100,00000128,99991231,20200101,1,Street 128,Lyon,10127,AT
100,00000129,99991231,20200101,1,Street 129,Milan,10128,CH
100,00000130,99991231,20200101,1,Street 130,Madrid,10129,BE
100,00000131,99991231,20200101,1,Street 131,Berlin,10130,DE
100,00000132,99991231,20200101,1,Street 132,Amsterdam,10131,NL
100,00000133,99991231,20200101,1,Street 133,Paris,10132,FR
100,00000134,99991231,20200101,1,Street 134,London,10133,US
100,00000135,99991231,20200101,1,Street 135,Munich,10134,GB
100,00000136,99991231,20200101,1,Street 136,Hamburg,10135,IT
100,00000137,99991231,20200101,1,Street 137,Rotterdam,10136,ES
100,00000138,99991231,20200101,1,Street 138,Lyon,10137,AT
100,00000139,99991231,20200101,1,Street 139,Milan,10138,CH
100,00000140,99991231,20200101,1,Street 140,Madrid,10139,BE
100,00000141,99991231,20200101,1,Street 141,Berlin,10140,DE
100,00000142,99991231,20200101,1,Street 142,Amsterdam,10141,NL
100,00000143,99991231,20200101,1,Street 143,Paris,10142,FR
100,00000144,99991231,20200101,1,Street 144,London,10143,US
100,00000145,99991231,20200101,1,Street 145,Munich,10144,GB
100,00000146,99991231,20200101,1,Street 146,Hamburg,10145,IT
100,00000147,99991231,20200101,1,Street 147,Rotterdam,10146,ES
100,00000148,99991231,20200101,1,Street 148,Lyon,10147,AT
100,00000149,99991231,20200101,1,Street 149,Milan,10148,CH
100,00000150,99991231,20200101,1,Street 150,Madrid,10149,BE
100,00000151,99991231,20200101,1,Street 151,Berlin,10150,DE
100,00000152,99991231,20200101,1,Street 152,Amsterdam,10151,NL
100,00000153,99991231,20200101,1,Street 153,Paris,10152,FR
100,00000154,99991231,20200101,1,Street 154,London,10153,US
100,00000155,99991231,20200101,1,Street 155,Munich,10154,GB
100,00000156,99991231,20200101,1,Street 156,Hamburg,10155,IT
100,00000157,99991231,20200101,1,Street 157,Rotterdam,10156,ES
100,00000158,99991231,20200101,1,Street 158,Lyon,10157,AT
100,00000159,99991231,20200101,1,Street 159,Milan,10158,CH
100,00000160,99991231,20200101,1,Street 160,Madrid,10159,BE
100,00000161,99991231,20200101,1,Street 161,Berlin,10160,DE
100,00000162,99991231,20200101,1,Street 162,Amsterdam,10161,NL
100,00000163,99991231,20200101,1,Street 163,Paris,10162,FR
100,00000164,99991231,20200101,1,Street 164,London,10163,US
100,00000165,99991231,20200101,1,Street 165,Munich,10164,GB
100,00000166,99991231,20200101,1,Street 166,Hamburg,10165,IT
100,00000167,99991231,20200101,1,Street 167,Rotterdam,10166,ES
100,00000168,99991231,20200101,1,Street 168,Lyon,10167,AT
100,00000169,99991231,20200101,1,Street 169,Milan,10168,CH
100,00000170,99991231,20200101,1,Street 170,Madrid,10169,BE
100,00000171,99991231,20200101,1,Street 171,Berlin,10170,DE
100,00000172,99991231,20200101,1,Street 172,Amsterdam,10171,NL
100,00000173,99991231,20200101,1,Street 173,Paris,10172,FR
100,00000174,99991231,20200101,1,Street 174,London,10173,US
100,00000175,99991231,20200101,1,Street 175,Munich,10174,GB
100,00000176,99991231,20200101,1,Street 176,Hamburg,10175,IT
100,00000177,99991231,20200101,1,Street 177,Rotterdam,10176,ES
100,00000178,99991231,20200101,1,Street 178,Lyon,10177,AT
100,00000179,99991231,20200101,1,Street 179,Milan,10178,CH
100,00000180,99991231,20200101,1,Street 180,Madrid,10179,BE
100,00000181,99991231,20200101,1,Street 181,Berlin,10180,DE
100,00000182,99991231,20200101,1,Street 182,Amsterdam,10181,NL
100,00000183,99991231,20200101,1,Street 183,Paris,10182,FR
100,00000184,99991231,20200101,1,Street 184,London,10183,US
100,00000185,99991231,20200101,1,Street 185,Munich,10184,GB
100,00000186,99991231,20200101,1,Street 186,Hamburg,10185,IT
100,00000187,99991231,20200101,1,Street 187,Rotterdam,10186,ES
100,00000188,99991231,20200101,1,Street 188,Lyon,10187,AT
100,00000189,99991231,20200101,1,Street 189,Milan,10188,CH
100,00000190,99991231,20200101,1,Street 190,Madrid,10189,BE
100,00000191,99991231,20200101,1,Street 191,Berlin,10190,DE
100,00000192,99991231,20200101,1,Street 192,Amsterdam,10191,NL
100,00000193,99991231,20200101,1,Street 193,Paris,10192,FR
100,00000194,99991231,20200101,1,Street 194,London,10193,US
100,00000195,99991231,20200101,1,Street 195,Munich,10194,GB
100,00000196,99991231,20200101,1,Street 196,Hamburg,10195,IT
100,00000197,99991231,20200101,1,Street 197,Rotterdam,10196,ES
100,00000198,99991231,20200101,1,Street 198,Lyon,10197,AT
100,00000199,99991231,20200101,1,Street 199,Milan,10198,CH
100,00000200,99991231,20200101,1,Street 200,Madrid,10199,BE
100,00000201,99991231,20200101,1,Street 201,Berlin,10200,DE
100,00000202,99991231,20200101,1,Street 202,Amsterdam,10201,NL
100,00000203,99991231,20200101,1,Street 203,Paris,10202,FR
100,00000204,99991231,20200101,1,Street 204,London,10203,US
100,00000205,99991231,20200101,1,Street 205,Munich,10204,GB
100,00000206,99991231,20200101,1,Street 206,Hamburg,10205,IT
100,00000207,99991231,20200101,1,Street 207,Rotterdam,10206,ES
100,00000208,99991231,20200101,1,Street 208,Lyon,10207,AT
100,00000209,99991231,20200101,1,Street 209,Milan,10208,CH
100,00000210,99991231,20200101,1,Street 210,Madrid,10209,BE
100,00000211,99991231,20200101,1,Street 211,Berlin,10210,DE
100,00000212,99991231,20200101,1,Street 212,Amsterdam,10211,NL
100,00000213,99991231,20200101,1,Street 213,Paris,10212,FR
100,00000214,99991231,20200101,1,Street 214,London,10213,US
100,00000215,99991231,20200101,1,Street 215,Munich,10214,GB
100,00000216,99991231,20200101,1,Street 216,Hamburg,10215,IT
100,00000217,99991231,20200101,1,Street 217,Rotterdam,10216,ES
100,00000218,99991231,20200101,1,Street 218,Lyon,10217,AT
100,00000219,99991231,20200101,1,Street 219,Milan,10218,CH
100,00000220,99991231,20200101,1,Street 220,Madrid,10219,BE
100,00000221,99991231,20200101,1,Street 221,Berlin,10220,DE
100,00000222,99991231,20200101,1,Street 222,Amsterdam,10221,NL
100,00000223,99991231,20200101,1,Street 223,Paris,10222,FR
100,00000224,99991231,20200101,1,Street 224,London,10223,US
100,00000225,99991231,20200101,1,Street 225,Munich,10224,GB
100,00000226,99991231,20200101,1,Street 226,Hamburg,10225,IT
100,00000227,99991231,20200101,1,Street 227,Rotterdam,10226,ES
100,00000228,99991231,20200101,1,Street 228,Lyon,10227,AT
100,00000229,99991231,20200101,1,Street 229,Milan,10228,CH
100,00000230,99991231,20200101,1,Street 230,Madrid,10229,BE
100,00000231,99991231,20200101,1,Street 231,Berlin,10230,DE
100,00000232,99991231,20200101,1,Street 232,Amsterdam,10231,NL
100,00000233,99991231,20200101,1,Street 233,Paris,10232,FR
100,00000234,99991231,20200101,1,Street 234,London,10233,US
100,00000235,99991231,20200101,1,Street 235,Munich,10234,GB
100,00000236,99991231,20200101,1,Street 236,Hamburg,10235,IT
100,00000237,99991231,20200101,1,Street 237,Rotterdam,10236,ES
100,00000238,99991231,20200101,1,Street 238,Lyon,10237,AT
100,00000239,99991231,20200101,1,Street 239,Milan,10238,CH
100,00000240,99991231,20200101,1,Street 240,Madrid,10239,BE
100,00000241,99991231,20200101,1,Street 241,Berlin,10240,DE
100,00000242,99991231,20200101,1,Street 242,Amsterdam,10241,NL
100,00000243,99991231,20200101,1,Street 243,Paris,10242,FR
100,00000244,99991231,20200101,1,Street 244,London,10243,US
100,00000245,99991231,20200101,1,Street 245,Munich,10244,GB
100,00000246,99991231,20200101,1,Street 246,Hamburg,10245,IT
100,00000247,99991231,20200101,1,Street 247,Rotterdam,10246,ES
100,00000248,99991231,20200101,1,Street 248,Lyon,10247,AT
100,00000249,99991231,20200101,1,Street 249,Milan,10248,CH
100,00000250,99991231,20200101,1,Street 250,Madrid,10249,BE
100,00000251,99991231,20200101,1,Street 251,Berlin,10250,DE
100,00000252,99991231,20200101,1,Street 252,Amsterdam,10251,NL
100,00000253,99991231,20200101,1,Street 253,Paris,10252,FR
100,00000254,99991231,20200101,1,Street 254,London,10253,US
100,00000255,99991231,20200101,1,Street 255,Munich,10254,GB
100,00000256,99991231,20200101,1,Street 256,Hamburg,10255,IT
100,00000257,99991231,20200101,1,Street 257,Rotterdam,10256,ES
100,00000258,99991231,20200101,1,Street 258,Lyon,10257,AT
100,00000259,99991231,20200101,1,Street 259,Milan,10258,CH
100,00000260,99991231,20200101,1,Street 260,Madrid,10259,BE
100,00000261,99991231,20200101,1,Street 261,Berlin,10260,DE
100,00000262,99991231,20200101,1,Street 262,Amsterdam,10261,NL
100,00000263,99991231,20200101,1,Street 263,Paris,10262,FR
100,00000264,99991231,20200101,1,Street 264,London,10263,US
100,00000265,99991231,20200101,1,Street 265,Munich,10264,GB
100,00000266,99991231,20200101,1,Street 266,Hamburg,10265,IT
100,00000267,99991231,20200101,1,Street 267,Rotterdam,10266,ES
100,00000268,99991231,20200101,1,Street 268,Lyon,10267,AT
100,00000269,99991231,20200101,1,Street 269,Milan,10268,CH
100,00000270,99991231,20200101,1,Street 270,Madrid,10269,BE
100,00000271,99991231,20200101,1,Street 271,Berlin,10270,DE
100,00000272,99991231,20200101,1,Street 272,Amsterdam,10271,NL
100,00000273,99991231,20200101,1,Street 273,Paris,10272,FR
100,00000274,99991231,20200101,1,Street 274,London,10273,US
100,00000275,99991231,20200101,1,Street 275,Munich,10274,GB
100,00000276,99991231,20200101,1,Street 276,Hamburg,10275,IT
100,00000277,99991231,20200101,1,Street 277,Rotterdam,10276,ES
100,00000278,99991231,20200101,1,Street 278,Lyon,10277,AT
100,00000279,99991231,20200101,1,Street 279,Milan,10278,CH
100,00000280,99991231,20200101,1,Street 280,Madrid,10279,BE
100,00000281,99991231,20200101,1,Street 281,Berlin,10280,DE
100,00000282,99991231,20200101,1,Street 282,Amsterdam,10281,NL
100,00000283,99991231,20200101,1,Street 283,Paris,10282,FR
100,00000284,99991231,20200101,1,Street 284,London,10283,US
100,00000285,99991231,20200101,1,Street 285,Munich,10284,GB
100,00000286,99991231,20200101,1,Street 286,Hamburg,10285,IT
100,00000287,99991231,20200101,1,Street 287,Rotterdam,10286,ES
100,00000288,99991231,20200101,1,Street 288,Lyon,10287,AT
100,00000289,99991231,20200101,1,Street 289,Milan,10288,CH
100,00000290,99991231,20200101,1,Street 290,Madrid,10289,BE
100,00000291,99991231,20200101,1,Street 291,Berlin,10290,DE
100,00000292,99991231,20200101,1,Street 292,Amsterdam,10291,NL
100,00000293,99991231,20200101,1,Street 293,Paris,10292,FR
100,00000294,99991231,20200101,1,Street 294,London,10293,US
100,00000295,99991231,20200101,1,Street 295,Munich,10294,GB
100,00000296,99991231,20200101,1,Street 296,Hamburg,10295,IT
100,00000297,99991231,20200101,1,Street 297,Rotterdam,10296,ES
100,00000298,99991231,20200101,1,Street 298,Lyon,10297,AT
100,00000299,99991231,20200101,1,Street 299,Milan,10298,CH
100,00000300,99991231,20200101,1,Street 300,Madrid,10299,BE
100,00000301,99991231,20200101,1,Street 301,Berlin,10300,DE
100,00000302,99991231,20200101,1,Street 302,Amsterdam,10301,NL
100,00000303,99991231,20200101,1,Street 303,Paris,10302,FR
100,00000304,99991231,20200101,1,Street 304,London,10303,US
100,00000305,99991231,20200101,1,Street 305,Munich,10304,GB
100,00000306,99991231,20200101,1,Street 306,Hamburg,10305,IT
100,00000307,99991231,20200101,1,Street 307,Rotterdam,10306,ES
100,00000308,99991231,20200101,1,Street 308,Lyon,10307,AT
100,00000309,99991231,20200101,1,Street 309,Milan,10308,CH
100,00000310,99991231,20200101,1,Street 310,Madrid,10309,BE
100,00000311,99991231,20200101,1,Street 311,Berlin,10310,DE
100,00000312,99991231,20200101,1,Street 312,Amsterdam,10311,NL
100,00000313,99991231,20200101,1,Street 313,Paris,10312,FR
100,00000314,99991231,20200101,1,Street 314,London,10313,US
100,00000315,99991231,20200101,1,Street 315,Munich,10314,GB
100,00000316,99991231,20200101,1,Street 316,Hamburg,10315,IT
100,00000317,99991231,20200101,1,Street 317,Rotterdam,10316,ES
100,00000318,99991231,20200101,1,Street 318,Lyon,10317,AT
100,00000319,99991231,20200101,1,Street 319,Milan,10318,CH
100,00000320,99991231,20200101,1,Street 320,Madrid,10319,BE
100,00000321,99991231,20200101,1,Street 321,Berlin,10320,DE
100,00000322,99991231,20200101,1,Street 322,Amsterdam,10321,NL
100,00000323,99991231,20200101,1,Street 323,Paris,10322,FR
100,00000324,99991231,20200101,1,Street 324,London,10323,US
100,00000325,99991231,20200101,1,Street 325,Munich,10324,GB
100,00000326,99991231,20200101,1,Street 326,Hamburg,10325,IT
100,00000327,99991231,20200101,1,Street 327,Rotterdam,10326,ES
100,00000328,99991231,20200101,1,Street 328,Lyon,10327,AT
100,00000329,99991231,20200101,1,Street 329,Milan,10328,CH
100,00000330,99991231,20200101,1,Street 330,Madrid,10329,BE
100,00000331,99991231,20200101,1,Street 331,Berlin,10330,DE
100,00000332,99991231,20200101,1,Street 332,Amsterdam,10331,NL
100,00000333,99991231,20200101,1,Street 333,Paris,10332,FR
100,00000334,99991231,20200101,1,Street 334,London,10333,US
100,00000335,99991231,20200101,1,Street 335,Munich,10334,GB
100,00000336,99991231,20200101,1,Street 336,Hamburg,10335,IT
100,00000337,99991231,20200101,1,Street 337,Rotterdam,10336,ES
100,00000338,99991231,20200101,1,Street 338,Lyon,10337,AT
100,00000339,99991231,20200101,1,Street 339,Milan,10338,CH
100,00000340,99991231,20200101,1,Street 340,Madrid,10339,BE
100,00000341,99991231,20200101,1,Street 341,Berlin,10340,DE
100,00000342,99991231,20200101,1,Street 342,Amsterdam,10341,NL
100,00000343,99991231,20200101,1,Street 343,Paris,10342,FR
100,00000344,99991231,20200101,1,Street 344,London,10343,US
100,00000345,99991231,20200101,1,Street 345,Munich,10344,GB
100,00000346,99991231,20200101,1,Street 346,Hamburg,10345,IT
100,00000347,99991231,20200101,1,Street 347,Rotterdam,10346,ES
100,00000348,99991231,20200101,1,Street 348,Lyon,10347,AT
100,00000349,99991231,20200101,1,Street 349,Milan,10348,CH
100,00000350,99991231,20200101,1,Street 350,Madrid,10349,BE
100,00000351,99991231,20200101,1,Street 351,Berlin,10350,DE
100,00000352,99991231,20200101,1,Street 352,Amsterdam,10351,NL
100,00000353,99991231,20200101,1,Street 353,Paris,10352,FR
100,00000354,99991231,20200101,1,Street 354,London,10353,US
100,00000355,99991231,20200101,1,Street 355,Munich,10354,GB
100,00000356,99991231,20200101,1,Street 356,Hamburg,10355,IT
100,00000357,99991231,20200101,1,Street 357,Rotterdam,10356,ES
100,00000358,99991231,20200101,1,Street 358,Lyon,10357,AT
100,00000359,99991231,20200101,1,Street 359,Milan,10358,CH
100,00000360,99991231,20200101,1,Street 360,Madrid,10359,BE
100,00000361,99991231,20200101,1,Street 361,Berlin,10360,DE
100,00000362,99991231,20200101,1,Street 362,Amsterdam,10361,NL
100,00000363,99991231,20200101,1,Street 363,Paris,10362,FR
100,00000364,99991231,20200101,1,Street 364,London,10363,US
100,00000365,99991231,20200101,1,Street 365,Munich,10364,GB
100,00000366,99991231,20200101,1,Street 366,Hamburg,10365,IT
100,00000367,99991231,20200101,1,Street 367,Rotterdam,10366,ES
100,00000368,99991231,20200101,1,Street 368,Lyon,10367,AT
100,00000369,99991231,20200101,1,Street 369,Milan,10368,CH
100,00000370,99991231,20200101,1,Street 370,Madrid,10369,BE
100,00000371,99991231,20200101,1,Street 371,Berlin,10370,DE
100,00000372,99991231,20200101,1,Street 372,Amsterdam,10371,NL
100,00000373,99991231,20200101,1,Street 373,Paris,10372,FR
100,00000374,99991231,20200101,1,Street 374,London,10373,US
100,00000375,99991231,20200101,1,Street 375,Munich,10374,GB
100,00000376,99991231,20200101,1,Street 376,Hamburg,10375,IT
100,00000377,99991231,20200101,1,Street 377,Rotterdam,10376,ES
100,00000378,99991231,20200101,1,Street 378,Lyon,10377,AT
100,00000379,99991231,20200101,1,Street 379,Milan,10378,CH
100,00000380,99991231,20200101,1,Street 380,Madrid,10379,BE
100,00000381,99991231,20200101,1,Street 381,Berlin,10380,DE
100,00000382,99991231,20200101,1,Street 382,Amsterdam,10381,NL
100,00000383,99991231,20200101,1,Street 383,Paris,10382,FR
100,00000384,99991231,20200101,1,Street 384,London,10383,US
100,00000385,99991231,20200101,1,Street 385,Munich,10384,GB
100,00000386,99991231,20200101,1,Street 386,Hamburg,10385,IT
100,00000387,99991231,20200101,1,Street 387,Rotterdam,10386,ES
100,00000388,99991231,20200101,1,Street 388,Lyon,10387,AT
100,00000389,99991231,20200101,1,Street 389,Milan,10388,CH
100,00000390,99991231,20200101,1,Street 390,Madrid,10389,BE
100,00000391,99991231,20200101,1,Street 391,Berlin,10390,DE
100,00000392,99991231,20200101,1,Street 392,Amsterdam,10391,NL
100,00000393,99991231,20200101,1,Street 393,Paris,10392,FR
100,00000394,99991231,20200101,1,Street 394,London,10393,US
100,00000395,99991231,20200101,1,Street 395,Munich,10394,GB
100,00000396,99991231,20200101,1,Street 396,Hamburg,10395,IT
100,00000397,99991231,20200101,1,Street 397,Rotterdam,10396,ES
100,00000398,99991231,20200101,1,Street 398,Lyon,10397,AT
100,00000399,99991231,20200101,1,Street 399,Milan,10398,CH
100,00000400,99991231,20200101,1,Street 400,Madrid,10399,BE
100,00000401,99991231,20200101,1,Street 401,Berlin,10400,DE
100,00000402,99991231,20200101,1,Street 402,Amsterdam,10401,NL
100,00000403,99991231,20200101,1,Street 403,Paris,10402,FR
100,00000404,99991231,20200101,1,Street 404,London,10403,US
100,00000405,99991231,20200101,1,Street 405,Munich,10404,GB
100,00000406,99991231,20200101,1,Street 406,Hamburg,10405,IT
100,00000407,99991231,20200101,1,Street 407,Rotterdam,10406,ES
100,00000408,99991231,20200101,1,Street 408,Lyon,10407,AT
100,00000409,99991231,20200101,1,Street 409,Milan,10408,CH
100,00000410,99991231,20200101,1,Street 410,Madrid,10409,BE
100,00000411,99991231,20200101,1,Street 411,Berlin,10410,DE
100,00000412,99991231,20200101,1,Street 412,Amsterdam,10411,NL
100,00000413,99991231,20200101,1,Street 413,Paris,10412,FR
100,00000414,99991231,20200101,1,Street 414,London,10413,US
100,00000415,99991231,20200101,1,Street 415,Munich,10414,GB
100,00000416,99991231,20200101,1,Street 416,Hamburg,10415,IT
100,00000417,99991231,20200101,1,Street 417,Rotterdam,10416,ES
100,00000418,99991231,20200101,1,Street 418,Lyon,10417,AT
100,00000419,99991231,20200101,1,Street 419,Milan,10418,CH
100,00000420,99991231,20200101,1,Street 420,Madrid,10419,BE
100,00000421,99991231,20200101,1,Street 421,Berlin,10420,DE
100,00000422,99991231,20200101,1,Street 422,Amsterdam,10421,NL
100,00000423,99991231,20200101,1,Street 423,Paris,10422,FR
100,00000424,99991231,20200101,1,Street 424,London,10423,US
100,00000425,99991231,20200101,1,Street 425,Munich,10424,GB
100,00000426,99991231,20200101,1,Street 426,Hamburg,10425,IT
100,00000427,99991231,20200101,1,Street 427,Rotterdam,10426,ES
100,00000428,99991231,20200101,1,Street 428,Lyon,10427,AT
100,00000429,99991231,20200101,1,Street 429,Milan,10428,CH
100,00000430,99991231,20200101,1,Street 430,Madrid,10429,BE
100,00000431,99991231,20200101,1,Street 431,Berlin,10430,DE
100,00000432,99991231,20200101,1,Street 432,Amsterdam,10431,NL
100,00000433,99991231,20200101,1,Street 433,Paris,10432,FR
100,00000434,99991231,20200101,1,Street 434,London,10433,US
100,00000435,99991231,20200101,1,Street 435,Munich,10434,GB
100,00000436,99991231,20200101,1,Street 436,Hamburg,10435,IT
100,00000437,99991231,20200101,1,Street 437,Rotterdam,10436,ES
