MANDT,PERNR,ENDDA,BEGDA,NACHN,VORNA,GBDAT,GESCH
100,00000074,99991231,20200101,Becker,David,19930418,1
100,00000075,99991231,20200101,Weber,Jan,19820426,1
100,00000076,99991231,20200101,Fischer,Jan,19800222,1
100,00000077,99991231,20200101,Hoffmann,David,19731224,1
100,00000078,99991231,20200101,Schneider,Greta,19631023,2
100,00000079,99991231,20200101,Becker,Hans,19731002,2
100,00000080,99991231,20200101,Fischer,Anna,19660327,2
100,00000081,99991231,20200101,Meyer,Iris,19620405,2
100,00000082,99991231,20200101,Schmidt,Greta,19740110,1
100,00000083,99991231,20200101,Weber,David,19970206,1
100,00000084,99991231,20200101,Schneider,Emma,19651026,2
100,00000085,99991231,20200101,Schulz,Clara,19841001,2
100,00000086,99991231,20200101,Weber,David,19890423,2
100,00000087,99991231,20200101,Schneider,Greta,19671225,1
100,00000088,99991231,20200101,Wagner,Iris,19871221,2
100,00000089,99991231,20200101,Hoffmann,Ben,19650705,2
100,00000090,99991231,20200101,Hoffmann,Felix,19801219,2
100,00000091,99991231,20200101,Schneider,Ben,19660113,2
100,00000092,99991231,20200101,Mueller,David,19981112,1
100,00000093,99991231,20200101,Hoffmann,Clara,19610108,2
100,00000094,99991231,20200101,Weber,David,19660610,2
100,00000095,99991231,20200101,Schneider,Greta,19640516,2
100,00000096,99991231,20200101,Mueller,Clara,19830911,1
100,00000097,99991231,20200101,Weber,Felix,19830109,2
100,00000098,99991231,20200101,Meyer,Clara,19700808,2
100,00000099,99991231,20200101,Weber,Hans,19890905,2
100,00000100,99991231,20200101,Mueller,David,19960326,1
100,00000101,99991231,20200101,Meyer,Greta,19900815,1
100,00000102,99991231,20200101,Schneider,Ben,19680608,2
100,00000103,99991231,20200101,Weber,Emma,19600807,1
100,00000104,99991231,20200101,Weber,Emma,19690310,1
100,00000105,99991231,20200101,Weber,Greta,19621211,1
100,00000106,99991231,20200101,Becker,Felix,19740714,2
100,00000107,99991231,20200101,Mueller,Greta,19890905,2
100,00000108,99991231,20200101,Weber,Felix,19920927,2
100,00000109,99991231,20200101,Becker,Anna,19800419,1
100,00000110,99991231,20200101,Schneider,David,19810423,2
100,00000111,99991231,20200101,Fischer,Anna,19640104,1
100,00000112,99991231,20200101,Schneider,Iris,19670702,2
100,00000113,99991231,20200101,Wagner,Iris,19601110,2
100,00000114,99991231,20200101,Schulz,Jan,19740509,2
100,00000115,99991231,20200101,Mueller,Anna,19710228,1
100,00000116,99991231,20200101,Fischer,Iris,19950318,2
100,00000117,99991231,20200101,Weber,Jan,19750316,1
100,00000118,99991231,20200101,Schulz,Clara,19920106,1
100,00000119,99991231,20200101,Hoffmann,Clara,19770611,1
100,00000120,99991231,20200101,Schulz,Hans,19760922,2
100,00000121,99991231,20200101,Becker,Felix,19600119,2
100,00000122,99991231,20200101,Becker,Felix,19740628,2
100,00000123,99991231,20200101,Becker,Jan,19701005,2
100,00000124,99991231,20200101,Wagner,Ben,19750111,1
100,00000125,99991231,20200101,Schulz,Iris,19890818,1
100,00000126,99991231,20200101,Weber,Ben,19970224,1
100,00000127,99991231,20200101,Becker,Clara,19801212,1
100,00000128,99991231,20200101,Weber,Iris,19620123,2
100,00000129,99991231,20200101,Schneider,Hans,19890614,1
100,00000130,99991231,20200101,Becker,David,19941011,2
100,00000131,99991231,20200101,Schulz,Felix,19810816,1
100,00000132,99991231,20200101,Mueller,Anna,19730606,2
100,00000133,99991231,20200101,Weber,Felix,19740313,1
100,00000134,99991231,20200101,Fischer,Ben,19930912,1
100,00000135,99991231,20200101,Schmidt,Clara,19930831,1
100,00000136,99991231,20200101,Becker,Emma,19640708,1
100,00000137,99991231,20200101,Fischer,Ben,19670919,2
100,00000138,99991231,20200101,Becker,David,19650320,2
100,00000139,99991231,20200101,Mueller,Jan,19750118,1
100,00000140,99991231,20200101,Meyer,Anna,19700128,1
100,00000141,99991231,20200101,Weber,Anna,19790907,2
100,00000142,99991231,20200101,Weber,Greta,19970714,2
100,00000143,99991231,20200101,Mueller,Greta,19800503,2
100,00000144,99991231,20200101,Fischer,Hans,19750917,2
100,00000145,99991231,20200101,Meyer,Anna,19700519,1
100,00000146,99991231,20200101,Becker,Hans,19790217,2
100,00000147,99991231,20200101,Weber,Emma,19701223,2
100,00000148,99991231,20200101,Mueller,Jan,19761202,2
100,00000149,99991231,20200101,Mueller,Jan,19980606,1
100,00000150,99991231,20200101,Meyer,Hans,19820309,1
100,00000151,99991231,20200101,Schulz,Anna,19721229,2
100,00000152,99991231,20200101,Hoffmann,David,19820523,1
100,00000153,99991231,20200101,Becker,Jan,19740119,1
100,00000154,99991231,20200101,Schmidt,Emma,19700628,1
100,00000155,99991231,20200101,Hoffmann,Anna,19760611,1
100,00000156,99991231,20200101,Schneider,Clara,19810524,1
100,00000157,99991231,20200101,Schmidt,Anna,19981121,2
100,00000158,99991231,20200101,Wagner,Emma,19731206,2
100,00000159,99991231,20200101,Hoffmann,Clara,20000817,1
100,00000160,99991231,20200101,Meyer,Felix,19980914,2
100,00000161,99991231,20200101,Becker,Greta,19870520,2
100,00000162,99991231,20200101,Fischer,Iris,19970118,1
100,00000163,99991231,20200101,Mueller,Greta,19951221,2
100,00000164,99991231,20200101,Schmidt,Clara,19650213,2
100,00000165,99991231,20200101,Schmidt,Jan,19920328,1
100,00000166,99991231,20200101,Fischer,Greta,19801226,1
100,00000167,99991231,20200101,Schmidt,David,19900311,2
100,00000168,99991231,20200101,Mueller,Hans,19911020,2
100,00000169,99991231,20200101,Schulz,David,19810418,1
100,00000170,99991231,20200101,Fischer,David,19640830,2
100,00000171,99991231,20200101,Meyer,Hans,19620824,2
100,00000172,99991231,20200101,Hoffmann,Jan,19650519,2
100,00000173,99991231,20200101,Wagner,Anna,19770514,2
100,00000174,99991231,20200101,Becker,David,19690425,1
100,00000175,99991231,20200101,Becker,Ben,19630225,1
100,00000176,99991231,20200101,Mueller,Greta,19700409,1
100,00000177,99991231,20200101,Schulz,Iris,19841128,1
100,00000178,99991231,20200101,Meyer,Felix,19681017,1
100,00000179,99991231,20200101,Becker,Clara,19780226,1
100,00000180,99991231,20200101,Wagner,Emma,19790805,2
100,00000181,99991231,20200101,Meyer,Greta,19870907,1
100,00000182,99991231,20200101,Schmidt,David,19710928,1
100,00000183,99991231,20200101,Fischer,Greta,19961106,1
100,00000184,99991231,20200101,Weber,Anna,19600104,2
100,00000185,99991231,20200101,Fischer,Clara,19781222,1
100,00000186,99991231,20200101,Weber,David,19930328,1
100,00000187,99991231,20200101,Fischer,Jan,19760130,1
100,00000188,99991231,20200101,Wagner,David,19700920,1
100,00000189,99991231,20200101,Wagner,Anna,19771026,1
100,00000190,99991231,20200101,Wagner,Greta,19860518,1
100,00000191,99991231,20200101,Schneider,Felix,19730630,1
100,00000192,99991231,20200101,Meyer,Jan,19950908,1
100,00000193,99991231,20200101,Schulz,Anna,19881105,1
100,00000194,99991231,20200101,Fischer,Ben,19870607,2
100,00000195,99991231,20200101,Schulz,Felix,19710314,2
100,00000196,99991231,20200101,Wagner,Clara,19680420,2
100,00000197,99991231,20200101,Weber,Ben,19670810,2
100,00000198,99991231,20200101,Fischer,Emma,19750110,2
100,00000199,99991231,20200101,Fischer,Anna,19800414,1
100,00000200,99991231,20200101,Wagner,Iris,19930113,1
100,00000201,99991231,20200101,Fischer,Greta,19881127,1
100,00000202,99991231,20200101,Weber,Hans,19991013,1
100,00000203,99991231,20200101,Schneider,Anna,19820828,1
100,00000204,99991231,20200101,Meyer,Iris,19600110,1
100,00000205,99991231,20200101,Meyer,Felix,19840124,2
100,00000206,99991231,20200101,Weber,Felix,19800108,1
100,00000207,99991231,20200101,Weber,Ben,19820708,2
100,00000208,99991231,20200101,Schneider,Clara,19850218,2
100,00000209,99991231,20200101,Becker,Jan,19940421,2
100,00000210,99991231,20200101,Hoffmann,Anna,19680314,1
100,00000211,99991231,20200101,Weber,David,19681021,1
100,00000212,99991231,20200101,Schneider,Hans,19841110,2
100,00000213,99991231,20200101,Fischer,Hans,19771030,2
100,00000214,99991231,20200101,Weber,Ben,19800411,2
100,00000215,99991231,20200101,Fischer,David,19990203,1
100,00000216,99991231,20200101,Weber,Jan,19970922,1
100,00000217,99991231,20200101,Meyer,Hans,19721207,1
100,00000218,99991231,20200101,Schulz,David,19671003,1
100,00000219,99991231,20200101,Meyer,Hans,19880402,1
100,00000220,99991231,20200101,Becker,David,19660322,2
100,00000221,99991231,20200101,Meyer,Emma,19850529,1
100,00000222,99991231,20200101,Fischer,Felix,19880225,1
100,00000223,99991231,20200101,Schulz,Emma,19600227,1
100,00000224,99991231,20200101,Schulz,Ben,19600120,1
100,00000225,99991231,20200101,Schulz,Greta,19931007,2
100,00000226,99991231,20200101,Schmidt,Greta,19700423,2
100,00000227,99991231,20200101,Meyer,Ben,19850405,1
100,00000228,99991231,20200101,Schneider,Iris,19931009,2
100,00000229,99991231,20200101,Schmidt,Ben,19820330,1
100,00000230,99991231,20200101,Weber,Felix,19860314,2
100,00000231,99991231,20200101,Becker,Clara,19940729,1
100,00000232,99991231,20200101,Fischer,Emma,19881116,2
100,00000233,99991231,20200101,Hoffmann,Jan,19830426,2
100,00000234,99991231,20200101,Hoffmann,Greta,19690415,2
100,00000235,99991231,20200101,Meyer,Anna,19860815,1
100,00000236,99991231,20200101,Schneider,Jan,19910405,1
100,00000237,99991231,20200101,Schmidt,Emma,19810116,2
100,00000238,99991231,20200101,Mueller,Clara,19720320,2
100,00000239,99991231,20200101,Mueller,Felix,19620526,1
100,00000240,99991231,20200101,Schmidt,Clara,19781002,2
100,00000241,99991231,20200101,Schmidt,Hans,19730716,1
100,00000242,99991231,20200101,Schneider,Emma,19660618,2
100,00000243,99991231,20200101,Hoffmann,Iris,19830301,2
100,00000244,99991231,20200101,Mueller,Felix,19660902,1
100,00000245,99991231,20200101,Mueller,Felix,19660526,1
100,00000246,99991231,20200101,Weber,Clara,19850606,1
100,00000247,99991231,20200101,Schulz,David,19930224,1
100,00000248,99991231,20200101,Fischer,Jan,19970927,1
100,00000249,99991231,20200101,Becker,David,19930327,2
100,00000250,99991231,20200101,Hoffmann,Ben,19840307,2
100,00000251,99991231,20200101,Weber,David,19671128,2
100,00000252,99991231,20200101,Mueller,Greta,19860202,1
100,00000253,99991231,20200101,Wagner,Greta,19630318,2
100,00000254,99991231,20200101,Wagner,Emma,19800111,1
100,00000255,99991231,20200101,Weber,Ben,19660409,1
100,00000256,99991231,20200101,Becker,Anna,19941120,1
100,00000257,99991231,20200101,Wagner,Greta,19900721,2
100,00000258,99991231,20200101,Schulz,Ben,19830216,1
100,00000259,99991231,20200101,Schulz,Ben,19800316,2
100,00000260,99991231,20200101,Wagner,Jan,19681103,2
100,00000261,99991231,20200101,Schulz,Felix,19630509,1
100,00000262,99991231,20200101,Schneider,Ben,19620303,1
100,00000263,99991231,20200101,Schneider,David,19810912,2
100,00000264,99991231,20200101,Weber,Ben,19820609,2
100,00000265,99991231,20200101,Schneider,Ben,19710704,1
100,00000266,99991231,20200101,Wagner,Felix,19930827,1
100,00000267,99991231,20200101,Meyer,Iris,19740227,1
100,00000268,99991231,20200101,Mueller,Anna,19801122,1
100,00000269,99991231,20200101,Schmidt,Hans,19781204,1
100,00000270,99991231,20200101,Hoffmann,Iris,19760704,2
100,00000271,99991231,20200101,Schmidt,Clara,19880528,1
100,00000272,99991231,20200101,Schmidt,Ben,19610121,2
100,00000273,99991231,20200101,Mueller,David,19981018,1
100,00000274,99991231,20200101,Hoffmann,David,19730523,1
100,00000275,99991231,20200101,Fischer,Hans,19890607,2
100,00000276,99991231,20200101,Schmidt,Clara,19760418,2
100,00000277,99991231,20200101,Becker,Greta,19830614,1
100,00000278,99991231,20200101,Mueller,Iris,19951223,1
100,00000279,99991231,20200101,Wagner,Greta,19610513,2
100,00000280,99991231,20200101,Schmidt,Iris,19741105,2
100,00000281,99991231,20200101,Meyer,Felix,19680201,1
100,00000282,99991231,20200101,Hoffmann,Clara,19650310,1
100,00000283,99991231,20200101,Schneider,Ben,19841230,1
100,00000284,99991231,20200101,Meyer,Ben,19971006,2
100,00000285,99991231,20200101,Hoffmann,Anna,19630102,2
100,00000286,99991231,20200101,Mueller,Ben,19990118,1
100,00000287,99991231,20200101,Becker,Felix,19600807,2
100,00000288,99991231,20200101,Schulz,Jan,19710101,1
100,00000289,99991231,20200101,Fischer,David,19820628,1
100,00000290,99991231,20200101,Schulz,Ben,19721228,1
100,00000291,99991231,20200101,Schmidt,Greta,19660710,1
100,00000292,99991231,20200101,Mueller,Hans,19771114,2
100,00000293,99991231,20200101,Fischer,Hans,19780606,2
100,00000294,99991231,20200101,Hoffmann,Ben,19951001,1
100,00000295,99991231,20200101,Schmidt,Felix,19650219,2
100,00000296,99991231,20200101,Schmidt,Iris,19950228,2
100,00000297,99991231,20200101,Schmidt,Ben,19821002,2
100,00000298,99991231,20200101,Becker,Greta,19650327,2
100,00000299,99991231,20200101,Fischer,Hans,19840706,2
100,00000300,99991231,20200101,Hoffmann,David,19880111,1
100,00000301,99991231,20200101,Schneider,Felix,19980216,1
100,00000302,99991231,20200101,Schulz,Greta,19620116,2
100,00000303,99991231,20200101,Schulz,Clara,19681101,1
100,00000304,99991231,20200101,Hoffmann,Jan,19840815,1
100,00000305,99991231,20200101,Schneider,Hans,19651106,1
100,00000306,99991231,20200101,Hoffmann,Hans,19830715,1
100,00000307,99991231,20200101,Wagner,Iris,19920710,1
100,00000308,99991231,20200101,Meyer,Felix,19960312,1
100,00000309,99991231,20200101,Becker,Hans,19990515,2
100,00000310,99991231,20200101,Hoffmann,David,19740109,1
100,00000311,99991231,20200101,Schmidt,Felix,19771130,1
100,00000312,99991231,20200101,Mueller,Hans,19650531,1
100,00000313,99991231,20200101,Wagner,David,19680214,1
100,00000314,99991231,20200101,Wagner,Ben,19731209,1
100,00000315,99991231,20200101,Weber,Iris,19731201,2
100,00000316,99991231,20200101,Becker,Anna,19900731,2
100,00000317,99991231,20200101,Meyer,Clara,19800324,2
100,00000318,99991231,20200101,Meyer,Emma,19820915,1
100,00000319,99991231,20200101,Wagner,Hans,19760429,2
100,00000320,99991231,20200101,Fischer,Emma,19770206,2
100,00000321,99991231,20200101,Wagner,Greta,19931214,1
100,00000322,99991231,20200101,Mueller,Iris,19821127,1
100,00000323,99991231,20200101,Schmidt,Felix,19610115,2
100,00000324,99991231,20200101,Hoffmann,David,19640727,1
100,00000325,99991231,20200101,Weber,Ben,19980521,1
100,00000326,99991231,20200101,Fischer,David,19620401,2
100,00000327,99991231,20200101,Weber,Anna,19600206,1
100,00000328,99991231,20200101,Wagner,Clara,19751207,2
100,00000329,99991231,20200101,Fischer,Felix,19880208,2
100,00000330,99991231,20200101,Schmidt,Jan,19670109,2
100,00000331,99991231,20200101,Schulz,Emma,19631202,1
100,00000332,99991231,20200101,Mueller,Clara,19760902,1
100,00000333,99991231,20200101,Mueller,Greta,19601217,2
100,00000334,99991231,20200101,Schulz,Emma,19970109,2
100,00000335,99991231,20200101,Fischer,David,19690305,2
100,00000336,99991231,20200101,Wagner,Ben,19651026,1
100,00000337,99991231,20200101,Wagner,Iris,19890921,2
100,00000338,99991231,20200101,Schmidt,Anna,19991201,2
100,00000339,99991231,20200101,Schulz,Hans,19761014,2
100,00000340,99991231,20200101,Becker,Greta,19661022,2
100,00000341,99991231,20200101,Mueller,Anna,19830929,2
100,00000342,99991231,20200101,Meyer,Greta,19771120,1
100,00000343,99991231,20200101,Becker,Felix,19771214,1
100,00000344,99991231,20200101,Schneider,Ben,19680701,1
100,00000345,99991231,20200101,Mueller,Ben,19740817,2
100,00000346,99991231,20200101,Schmidt,Hans,19600918,2
100,00000347,99991231,20200101,Meyer,Anna,19711219,2
100,00000348,99991231,20200101,Meyer,Felix,19840105,2
100,00000349,99991231,20200101,Weber,Emma,19840729,1
100,00000350,99991231,20200101,Weber,Ben,19710710,2
100,00000351,99991231,20200101,Meyer,Iris,19900323,2
100,00000352,99991231,20200101,Weber,Emma,19801020,1
100,00000353,99991231,20200101,Wagner,Greta,19930511,1
100,00000354,99991231,20200101,Hoffmann,Greta,19660222,2
100,00000355,99991231,20200101,Weber,Jan,19780403,2
100,00000356,99991231,20200101,Becker,Iris,19720923,2
100,00000357,99991231,20200101,Meyer,Clara,19780723,2
100,00000358,99991231,20200101,Weber,Clara,19890302,1
100,00000359,99991231,20200101,Schmidt,Greta,19930611,2
100,00000360,99991231,20200101,Schneider,Hans,19800812,2
100,00000361,99991231,20200101,Meyer,Clara,19690728,1
100,00000362,99991231,20200101,Schulz,Emma,19940201,1
100,00000363,99991231,20200101,Weber,Anna,19750226,1
100,00000364,99991231,20200101,Schmidt,David,19690522,2
100,00000365,99991231,20200101,Mueller,Felix,20000120,2
100,00000366,99991231,20200101,Schneider,Anna,19750121,1
100,00000367,99991231,20200101,Schneider,Ben,19800621,2
100,00000368,99991231,20200101,Schneider,Ben,19600621,1
100,00000369,99991231,20200101,Schmidt,Greta,19891022,2
100,00000370,99991231,20200101,Fischer,Greta,19861223,2
100,00000371,99991231,20200101,Weber,Ben,19790712,1
100,00000372,99991231,20200101,Schulz,Greta,19750113,2
100,00000373,99991231,20200101,Schneider,Felix,19751004,1
100,00000374,99991231,20200101,Wagner,Clara,19720725,1
100,00000375,99991231,20200101,Fischer,Clara,19820324,1
100,00000376,99991231,20200101,Fischer,Greta,19830811,1
100,00000377,99991231,20200101,Meyer,Anna,19960731,1
100,00000378,99991231,20200101,Weber,Iris,19910929,2
100,00000379,99991231,20200101,Hoffmann,Hans,19720711,1
100,00000380,99991231,20200101,Schmidt,Hans,19610710,1
100,00000381,99991231,20200101,Weber,Hans,19790415,1
100,00000382,99991231,20200101,Schmidt,Hans,19750426,2
100,00000383,99991231,20200101,Schmidt,Ben,19701215,2
100,00000384,99991231,20200101,Meyer,Emma,19710103,2
100,00000385,99991231,20200101,Schmidt,Greta,19770128,1
100,00000386,99991231,20200101,Meyer,Felix,19860403,2
100,00000387,99991231,20200101,Schulz,Clara,19690922,1
100,00000388,99991231,20200101,Meyer,Iris,19621016,2
100,00000389,99991231,20200101,Meyer,Jan,19851220,2
100,00000390,99991231,20200101,Mueller,David,19720111,1
100,00000391,99991231,20200101,Becker,Jan,19850208,1
100,00000392,99991231,20200101,Schulz,Felix,19880221,1
100,00000393,99991231,20200101,Mueller,Felix,19921210,2
100,00000394,99991231,20200101,Wagner,Ben,19610801,1
100,00000395,99991231,20200101,Hoffmann,David,19990616,2
100,00000396,99991231,20200101,Wagner,Jan,19790126,1
100,00000397,99991231,20200101,Schmidt,Hans,19871023,2
100,00000398,99991231,20200101,Weber,Anna,19750324,1
100,00000399,99991231,20200101,Weber,Jan,19800927,1
100,00000400,99991231,20200101,Schulz,Ben,19781115,2
100,00000401,99991231,20200101,Wagner,David,19990925,1
100,00000402,99991231,20200101,Hoffmann,Greta,19750710,2
100,00000403,99991231,20200101,Schneider,Anna,19660425,2
100,00000404,99991231,20200101,Fischer,Greta,19630302,1
100,00000405,99991231,20200101,Wagner,Jan,19860809,1
100,00000406,99991231,20200101,Wagner,Emma,19800903,2
100,00000407,99991231,20200101,Fischer,Felix,19611029,2
100,00000408,99991231,20200101,Hoffmann,Emma,19660112,1
100,00000409,99991231,20200101,Wagner,Greta,19861104,1
100,00000410,99991231,20200101,Becker,Clara,19740219,1
100,00000411,99991231,20200101,Hoffmann,Emma,19610404,1
100,00000412,99991231,20200101,Schmidt,Clara,19890305,1
100,00000413,99991231,20200101,Meyer,David,19991109,2
100,00000414,99991231,20200101,Schmidt,Clara,19860406,2
100,00000415,99991231,20200101,Schneider,Jan,19660125,1
100,00000416,99991231,20200101,Becker,Jan,19680102,2
100,00000417,99991231,20200101,Wagner,Jan,19841003,1
100,00000418,99991231,20200101,Schmidt,Anna,19970921,1
100,00000419,99991231,20200101,Schmidt,Iris,19630728,1
100,00000420,99991231,20200101,Weber,Anna,19660417,2
100,00000421,99991231,20200101,Wagner,Felix,19781222,2
100,00000422,99991231,20200101,Becker,Hans,19990113,1
100,00000423,99991231,20200101,Hoffmann,David,19611204,2
100,00000424,99991231,20200101,Becker,Emma,19861215,2
100,00000425,99991231,20200101,Weber,Iris,19831001,2
100,00000426,99991231,20200101,Schneider,Clara,19800228,1
100,00000427,99991231,20200101,Becker,Felix,19700415,2
100,00000428,99991231,20200101,Mueller,Ben,19780525,2
100,00000429,99991231,20200101,Mueller,Greta,19870614,2
100,00000430,99991231,20200101,Hoffmann,Ben,19911026,1
100,00000431,99991231,20200101,Schmidt,Iris,19890511,2
100,00000432,99991231,20200101,Schneider,David,19910829,1
100,00000433,99991231,20200101,Mueller,Hans,19660621,2
100,00000434,99991231,20200101,Schulz,David,19680324,2
100,00000435,99991231,20200101,Schmidt,Anna,19750123,1
100,00000436,99991231,20200101,Schmidt,Hans,19821221,1
100,00000437,99991231,20200101,Wagner,Ben,19720107,1
100,00000438,99991231,20200101,Mueller,Hans,19601229,1
100,00000439,99991231,20200101,Schulz,Anna,19890401,2
100,00000440,99991231,20200101,Fischer,Emma,19820930,2
100,00000441,99991231,20200101,Hoffmann,Jan,19851111,2
100,00000442,99991231,20200101,Hoffmann,Ben,19730128,2
100,00000443,99991231,20200101,Weber,David,19880510,2
100,00000444,99991231,20200101,Becker,Iris,19680322,1
100,00000445,99991231,20200101,Weber,Clara,19670705,2
100,00000446,99991231,20200101,Wagner,Ben,19840514,1
100,00000447,99991231,20200101,Mueller,Ben,19730612,1
100,00000448,99991231,20200101,Hoffmann,Greta,19950323,2
100,00000449,99991231,20200101,Wagner,Anna,19620219,1
100,00000450,99991231,20200101,Mueller,Anna,19951216,1
100,00000451,99991231,20200101,Schulz,Felix,19651226,2
100,00000452,99991231,20200101,Becker,Iris,19820419,2
100,00000453,99991231,20200101,Mueller,Iris,19610621,2
100,00000454,99991231,20200101,Meyer,Ben,19730618,1
100,00000455,99991231,20200101,Schulz,David,19880507,1
100,00000456,99991231,20200101,Hoffmann,Anna,19790217,1
100,00000457,99991231,20200101,Weber,Jan,19850705,2
100,00000458,99991231,20200101,Hoffmann,Jan,19721225,2
100,00000459,99991231,20200101,Schmidt,Greta,19811005,1
100,00000460,99991231,20200101,Schmidt,David,19990619,2
100,00000461,99991231,20200101,Schmidt,Emma,19680429,2
100,00000462,99991231,20200101,Becker,Greta,19731112,1
100,00000463,99991231,20200101,Fischer,David,19700119,2
100,00000464,99991231,20200101,Schmidt,David,19690602,2
100,00000465,99991231,20200101,Becker,Ben,19791206,1
100,00000466,99991231,20200101,Wagner,David,19860918,1
100,00000467,99991231,20200101,Schulz,Iris,19640408,2
100,00000468,99991231,20200101,Mueller,David,19750502,2
100,00000469,99991231,20200101,Weber,Iris,19720809,2
100,00000470,99991231,20200101,Fischer,Clara,19870722,2
100,00000471,99991231,20200101,Becker,Ben,19790713,2
100,00000472,99991231,20200101,Schneider,Iris,19930420,2
100,00000473,99991231,20200101,Weber,Emma,19690216,2
100,00000474,99991231,20200101,Wagner,Iris,19820210,2
100,00000475,99991231,20200101,Weber,Clara,19751227,1
100,00000476,99991231,20200101,Wagner,Hans,19811231,1
100,00000477,99991231,20200101,Schulz,Clara,19780107,2
100,00000478,99991231,20200101,Becker,Emma,19680824,1
100,00000479,99991231,20200101,Schmidt,Clara,19761225,2
100,00000480,99991231,20200101,Wagner,Iris,19690419,1
100,00000481,99991231,20200101,Meyer,Emma,19860302,1
100,00000482,99991231,20200101,Schneider,Clara,19840426,1
